Yr_C13,Mn_C13,decimal_dateC13,13Cper_mil,season_adjC13,fitC13,season_adj_fitC13,filled_C13,season_adj_filledC13
1980,1,1980.041,      NaN,      NaN,-7.51,-7.51,-7.51,-7.51
1980,2,1980.1257,-7.6,-7.55,-7.56,-7.52,-7.6,-7.55
1980,3,1980.2049,-7.64,-7.55,-7.62,-7.53,-7.64,-7.55
1980,4,1980.2896,-7.65,-7.5,-7.68,-7.54,-7.65,-7.5
1980,5,1980.3716,-7.68,-7.52,-7.71,-7.55,-7.68,-7.52
1980,6,1980.4563,      NaN,      NaN,-7.67,-7.56,-7.67,-7.56
1980,7,1980.5383,-7.59,-7.58,-7.58,-7.57,-7.59,-7.58
1980,8,1980.623,-7.47,-7.58,-7.47,-7.58,-7.47,-7.58
1980,9,1980.7077,-7.44,-7.62,-7.41,-7.58,-7.44,-7.62
1980,10,1980.7896,-7.48,-7.64,-7.43,-7.59,-7.48,-7.64
1980,11,1980.8743,-7.45,-7.54,-7.5,-7.59,-7.45,-7.54
1980,12,1980.9563,      NaN,      NaN,-7.56,-7.6,-7.56,-7.6
1981,1,1981.0411,-7.57,-7.57,-7.6,-7.6,-7.57,-7.57
1981,2,1981.126,-7.64,-7.6,-7.64,-7.6,-7.64,-7.6
1981,3,1981.2027,      NaN,      NaN,-7.69,-7.61,-7.69,-7.61
1981,4,1981.2877,-7.74,-7.59,-7.75,-7.61,-7.74,-7.59
1981,5,1981.3699,-7.82,-7.66,-7.77,-7.61,-7.82,-7.66
1981,6,1981.4548,-7.76,-7.64,-7.72,-7.6,-7.76,-7.64
1981,7,1981.537,      NaN,      NaN,-7.61,-7.6,-7.61,-7.6
1981,8,1981.6219,-7.49,-7.59,-7.49,-7.59,-7.49,-7.59
1981,9,1981.7068,-7.39,-7.57,-7.41,-7.59,-7.39,-7.57
1981,10,1981.789,-7.35,-7.51,-7.43,-7.59,-7.35,-7.51
1981,11,1981.874,-7.46,-7.55,-7.49,-7.59,-7.46,-7.55
1981,12,1981.9562,-7.58,-7.62,-7.55,-7.59,-7.58,-7.62
1982,1,1982.0411,-7.58,-7.58,-7.59,-7.59,-7.58,-7.58
1982,2,1982.126,-7.64,-7.6,-7.63,-7.59,-7.64,-7.6
1982,3,1982.2027,      NaN,      NaN,-7.68,-7.59,-7.68,-7.59
1982,4,1982.2877,-7.73,-7.59,-7.74,-7.6,-7.73,-7.59
1982,5,1982.3699,-7.8,-7.64,-7.76,-7.6,-7.8,-7.64
1982,6,1982.4548,-7.71,-7.6,-7.71,-7.6,-7.71,-7.6
1982,7,1982.537,-7.67,-7.66,-7.62,-7.6,-7.67,-7.66
1982,8,1982.6219,-7.47,-7.57,-7.5,-7.6,-7.47,-7.57
1982,9,1982.7068,-7.4,-7.57,-7.42,-7.6,-7.4,-7.57
1982,10,1982.789,-7.45,-7.6,-7.44,-7.6,-7.45,-7.6
1982,11,1982.874,-7.5,-7.59,-7.51,-7.6,-7.5,-7.59
1982,12,1982.9562,-7.62,-7.66,-7.56,-7.6,-7.62,-7.66
1983,1,1983.0411,-7.61,-7.61,-7.6,-7.6,-7.61,-7.61
1983,2,1983.126,-7.6,-7.56,-7.64,-7.6,-7.6,-7.56
1983,3,1983.2027,-7.63,-7.54,-7.69,-7.6,-7.63,-7.54
1983,4,1983.2877,-7.72,-7.57,-7.76,-7.61,-7.72,-7.57
1983,5,1983.3699,-7.86,-7.7,-7.78,-7.62,-7.86,-7.7
1983,6,1983.4548,-7.63,-7.51,-7.74,-7.63,-7.63,-7.51
1983,7,1983.537,-7.71,-7.7,-7.66,-7.64,-7.71,-7.7
1983,8,1983.6219,-7.58,-7.68,-7.55,-7.65,-7.58,-7.68
1983,9,1983.7068,-7.43,-7.61,-7.48,-7.66,-7.43,-7.61
1983,10,1983.789,-7.48,-7.64,-7.51,-7.67,-7.48,-7.64
1983,11,1983.874,-7.6,-7.69,-7.59,-7.69,-7.6,-7.69
1983,12,1983.9562,-7.67,-7.71,-7.66,-7.7,-7.67,-7.71
1984,1,1984.041,-7.67,-7.67,-7.72,-7.71,-7.67,-7.67
1984,2,1984.1257,-7.81,-7.77,-7.77,-7.72,-7.81,-7.77
1984,3,1984.2049,      NaN,      NaN,-7.82,-7.73,-7.82,-7.73
1984,4,1984.2896,-7.9,-7.75,-7.88,-7.74,-7.9,-7.75
1984,5,1984.3716,-7.9,-7.74,-7.9,-7.74,-7.9,-7.74
1984,6,1984.4563,-7.86,-7.75,-7.85,-7.74,-7.86,-7.75
1984,7,1984.5383,-7.72,-7.7,-7.75,-7.73,-7.72,-7.7
1984,8,1984.623,-7.66,-7.76,-7.62,-7.73,-7.66,-7.76
1984,9,1984.7077,-7.57,-7.74,-7.54,-7.72,-7.57,-7.74
1984,10,1984.7896,-7.54,-7.7,-7.55,-7.71,-7.54,-7.7
1984,11,1984.8743,-7.6,-7.7,-7.61,-7.7,-7.6,-7.7
1984,12,1984.9563,-7.6,-7.63,-7.66,-7.69,-7.6,-7.63
1985,1,1985.0411,-7.65,-7.65,-7.69,-7.69,-7.65,-7.65
1985,2,1985.126,-7.76,-7.72,-7.73,-7.68,-7.76,-7.72
1985,3,1985.2027,-7.81,-7.72,-7.77,-7.68,-7.81,-7.72
1985,4,1985.2877,-7.75,-7.6,-7.82,-7.68,-7.75,-7.6
1985,5,1985.3699,-7.85,-7.68,-7.84,-7.67,-7.85,-7.68
1985,6,1985.4548,-7.79,-7.68,-7.79,-7.67,-7.79,-7.68
1985,7,1985.537,-7.67,-7.66,-7.69,-7.67,-7.67,-7.66
1985,8,1985.6219,-7.5,-7.6,-7.57,-7.67,-7.5,-7.6
1985,9,1985.7068,-7.57,-7.74,-7.5,-7.67,-7.57,-7.74
1985,10,1985.789,-7.6,-7.76,-7.52,-7.67,-7.6,-7.76
1985,11,1985.874,-7.58,-7.67,-7.58,-7.67,-7.58,-7.67
1985,12,1985.9562,-7.63,-7.66,-7.64,-7.67,-7.63,-7.66
1986,1,1986.0411,-7.63,-7.63,-7.67,-7.67,-7.63,-7.63
