Yr_CO2,Mn_CO2,decimal_dateCO2,CO2_ppm,season_adjCO2,fitCO2,season_adj_fitCO2,filled_CO2,season_adj_filledCO2
1960,1,1960.041,      NaN,      NaN,316.32,316.23,316.32,316.23
1960,2,1960.1257,      NaN,      NaN,316.97,316.31,316.97,316.31
1960,3,1960.2049,317.7,316.29,317.8,316.39,317.7,316.29
1960,4,1960.2896,319.08,316.57,318.97,316.47,319.08,316.57
1960,5,1960.3716,      NaN,      NaN,319.48,316.54,319.48,316.54
1960,6,1960.4563,      NaN,      NaN,318.72,316.62,318.72,316.62
1960,7,1960.5383,      NaN,      NaN,317.16,316.7,317.16,316.7
1960,8,1960.623,315.71,317.32,315.17,316.78,315.71,317.32
1960,9,1960.7077,      NaN,      NaN,313.75,316.86,313.75,316.86
1960,10,1960.7896,312.85,315.84,313.95,316.94,312.85,315.84
1960,11,1960.8743,      NaN,      NaN,315.27,317.02,315.27,317.02
1960,12,1960.9563,316.81,317.46,316.44,317.09,316.81,317.46
1961,1,1961.0411,317.41,317.32,317.26,317.17,317.41,317.32
1961,2,1961.126,      NaN,      NaN,317.91,317.25,317.91,317.25
1961,3,1961.2027,318.15,316.76,318.71,317.32,318.15,316.76
1961,4,1961.2877,      NaN,      NaN,319.89,317.4,319.89,317.4
1961,5,1961.3699,      NaN,      NaN,320.42,317.47,320.42,317.47
1961,6,1961.4548,318.8,316.66,319.67,317.54,318.8,316.66
1961,7,1961.537,318.91,318.43,318.1,317.61,318.91,318.43
1961,8,1961.6219,315.47,317.06,316.09,317.68,315.47,317.06
1961,9,1961.7068,315.61,318.73,314.63,317.74,315.61,318.73
1961,10,1961.789,314.92,317.93,314.8,317.8,314.92,317.93
1961,11,1961.874,316.19,317.95,316.1,317.86,316.19,317.95
1961,12,1961.9562,318.15,318.81,317.25,317.91,318.15,318.81
1962,1,1962.0411,317.09,317,318.05,317.96,317.09,317
1962,2,1962.126,318.36,317.69,318.68,318.01,318.36,317.69
1962,3,1962.2027,320.05,318.65,319.45,318.06,320.05,318.65
1962,4,1962.2877,320.3,317.8,320.61,318.11,320.3,317.8
1962,5,1962.3699,321.54,318.57,321.12,318.15,321.54,318.57
1962,6,1962.4548,320.05,317.91,320.34,318.2,320.05,317.91
1962,7,1962.537,317.99,317.5,318.74,318.25,317.99,317.5
1962,8,1962.6219,317.1,318.69,316.7,318.3,317.1,318.69
1962,9,1962.7068,315.35,318.48,315.22,318.35,315.35,318.48
1962,10,1962.789,314.67,317.68,315.38,318.4,314.67,317.68
1962,11,1962.874,316.97,318.74,316.69,318.45,316.97,318.74
1962,12,1962.9562,      NaN,      NaN,317.85,318.51,317.85,318.51
1963,1,1963.0411,      NaN,      NaN,318.65,318.56,318.65,318.56
1963,2,1963.126,      NaN,      NaN,319.28,318.61,319.28,318.61
1963,3,1963.2027,      NaN,      NaN,320.06,318.66,320.06,318.66
1963,4,1963.2877,      NaN,      NaN,321.23,318.71,321.23,318.71
1963,5,1963.3699,      NaN,      NaN,321.74,318.77,321.74,318.77
1963,6,1963.4548,      NaN,      NaN,320.97,318.82,320.97,318.82
1963,7,1963.537,      NaN,      NaN,319.36,318.87,319.36,318.87
1963,8,1963.6219,      NaN,      NaN,317.32,318.92,317.32,318.92
1963,9,1963.7068,316.41,319.55,315.83,318.97,316.41,319.55
1963,10,1963.789,      NaN,      NaN,315.99,319.02,315.99,319.02
1963,11,1963.874,      NaN,      NaN,317.29,319.07,317.29,319.07
1963,12,1963.9562,      NaN,      NaN,318.45,319.12,318.45,319.12
1964,1,1964.041,      NaN,      NaN,319.25,319.16,319.25,319.16
1964,2,1964.1257,      NaN,      NaN,319.88,319.21,319.88,319.21
1964,3,1964.2049,      NaN,      NaN,320.69,319.26,320.69,319.26
1964,4,1964.2896,      NaN,      NaN,321.85,319.31,321.85,319.31
1964,5,1964.3716,      NaN,      NaN,322.34,319.35,322.34,319.35
1964,6,1964.4563,      NaN,      NaN,321.54,319.4,321.54,319.4
1964,7,1964.5383,      NaN,      NaN,319.92,319.45,319.92,319.45
1964,8,1964.623,      NaN,      NaN,317.87,319.51,317.87,319.51
1964,9,1964.7077,      NaN,      NaN,316.4,319.56,316.4,319.56
1964,10,1964.7896,      NaN,      NaN,316.58,319.61,316.58,319.61
1964,11,1964.8743,      NaN,      NaN,317.9,319.67,317.9,319.67
1964,12,1964.9563,319.05,319.71,319.07,319.73,319.05,319.71
1965,1,1965.0411,319.93,319.84,319.88,319.79,319.93,319.84
1965,2,1965.126,      NaN,      NaN,320.53,319.86,320.53,319.86
1965,3,1965.2027,      NaN,      NaN,321.33,319.92,321.33,319.92
1965,4,1965.2877,322.63,320.1,322.52,319.99,322.63,320.1
1965,5,1965.3699,      NaN,      NaN,323.06,320.06,323.06,320.06
1965,6,1965.4548,      NaN,      NaN,322.3,320.14,322.3,320.14
1965,7,1965.537,319.25,318.76,320.71,320.22,319.25,318.76
1965,8,1965.6219,      NaN,      NaN,318.69,320.3,318.69,320.3
1965,9,1965.7068,      NaN,      NaN,317.23,320.39,317.23,320.39
1965,10,1965.789,      NaN,      NaN,317.43,320.48,317.43,320.48
1965,11,1965.874,      NaN,      NaN,318.79,320.57,318.79,320.57
1965,12,1965.9562,      NaN,      NaN,320,320.67,320,320.67
1966,1,1966.0411,320.51,320.42,320.85,320.76,320.51,320.42
1966,2,1966.126,321.91,321.24,321.54,320.86,321.91,321.24
1966,3,1966.2027,      NaN,      NaN,322.36,320.95,322.36,320.95
1966,4,1966.2877,324.44,321.9,323.59,321.05,324.44,321.9
1966,5,1966.3699,      NaN,      NaN,324.15,321.14,324.15,321.14
1966,6,1966.4548,      NaN,      NaN,323.41,321.24,323.41,321.24
1966,7,1966.537,      NaN,      NaN,321.82,321.33,321.82,321.33
1966,8,1966.6219,      NaN,      NaN,319.8,321.42,319.8,321.42
1966,9,1966.7068,      NaN,      NaN,318.34,321.51,318.34,321.51
1966,10,1966.789,319.35,322.41,318.54,321.6,319.35,322.41
1966,11,1966.874,319.8,321.59,319.89,321.68,319.8,321.59
1966,12,1966.9562,321.17,321.83,321.09,321.76,321.17,321.83
1967,1,1967.0411,      NaN,      NaN,321.93,321.84,321.93,321.84
1967,2,1967.126,      NaN,      NaN,322.6,321.92,322.6,321.92
1967,3,1967.2027,      NaN,      NaN,323.41,321.99,323.41,321.99
1967,4,1967.2877,      NaN,      NaN,324.62,322.07,324.62,322.07
1967,5,1967.3699,      NaN,      NaN,325.16,322.14,325.16,322.14
1967,6,1967.4548,324.82,322.64,324.4,322.22,324.82,322.64
1967,7,1967.537,322.73,322.23,322.79,322.29,322.73,322.23
1967,8,1967.6219,      NaN,      NaN,320.74,322.37,320.74,322.37
1967,9,1967.7068,      NaN,      NaN,319.26,322.44,319.26,322.44
1967,10,1967.789,      NaN,      NaN,319.45,322.52,319.45,322.52
1967,11,1967.874,      NaN,      NaN,320.79,322.59,320.79,322.59
1967,12,1967.9562,      NaN,      NaN,322,322.67,322,322.67
1968,1,1968.041,      NaN,      NaN,322.84,322.75,322.84,322.75
1968,2,1968.1257,      NaN,      NaN,323.51,322.84,323.51,322.84
