Yr_O18,Mn_O18,decimal_dateO18,O18per_mil,season_adjO18,fitO18,season_adj_fitO18,filled_O18,season_adj_filledO18
1980,1,1980.041,      NaN,      NaN,-0.02,0,-0.02,0
1980,2,1980.1257,      NaN,      NaN,0.08,0.02,0.08,0.02
1980,3,1980.2049,      NaN,      NaN,0.11,0.04,0.11,0.04
1980,4,1980.2896,-0.15,-0.2,0.12,0.07,-0.15,-0.2
1980,5,1980.3716,0.07,0,0.16,0.09,0.07,0
1980,6,1980.4563,      NaN,      NaN,0.24,0.12,0.24,0.12
1980,7,1980.5383,0.35,0.21,0.27,0.14,0.35,0.21
1980,8,1980.623,0.41,0.34,0.23,0.16,0.41,0.34
1980,9,1980.7077,0.2,0.26,0.11,0.17,0.2,0.26
1980,10,1980.7896,0.18,0.35,0.01,0.18,0.18,0.35
1980,11,1980.8743,0.14,0.34,-0.01,0.19,0.14,0.34
1980,12,1980.9563,      NaN,      NaN,0.07,0.2,0.07,0.2
1981,1,1981.0411,0.06,0.08,0.19,0.21,0.06,0.08
1981,2,1981.126,      NaN,      NaN,0.27,0.21,0.27,0.21
1981,3,1981.2027,      NaN,      NaN,0.28,0.22,0.28,0.22
1981,4,1981.2877,0.14,0.09,0.28,0.22,0.14,0.09
1981,5,1981.3699,0.13,0.06,0.3,0.23,0.13,0.06
1981,6,1981.4548,0.24,0.12,0.36,0.24,0.24,0.12
1981,7,1981.537,      NaN,      NaN,0.39,0.25,0.39,0.25
1981,8,1981.6219,0.41,0.33,0.34,0.27,0.41,0.33
1981,9,1981.7068,0.24,0.3,0.22,0.28,0.24,0.3
1981,10,1981.789,0.41,0.59,0.12,0.29,0.41,0.59
1981,11,1981.874,0.3,0.5,0.1,0.3,0.3,0.5
1981,12,1981.9562,0.04,0.17,0.19,0.32,0.04,0.17
1982,1,1982.0411,0.33,0.34,0.32,0.33,0.33,0.34
1982,2,1982.126,0.35,0.3,0.4,0.34,0.35,0.3
1982,3,1982.2027,      NaN,      NaN,0.42,0.36,0.42,0.36
1982,4,1982.2877,0.46,0.41,0.43,0.37,0.46,0.41
1982,5,1982.3699,0.33,0.26,0.46,0.39,0.33,0.26
1982,6,1982.4548,0.38,0.26,0.53,0.41,0.38,0.26
1982,7,1982.537,0.56,0.42,0.56,0.42,0.56,0.42
1982,8,1982.6219,0.63,0.56,0.51,0.44,0.63,0.56
1982,9,1982.7068,0.54,0.6,0.39,0.45,0.54,0.6
1982,10,1982.789,0.32,0.49,0.29,0.46,0.32,0.49
1982,11,1982.874,0.23,0.44,0.27,0.47,0.23,0.44
1982,12,1982.9562,0.28,0.41,0.35,0.48,0.28,0.41
1983,1,1983.0411,0.58,0.59,0.47,0.49,0.58,0.59
1983,2,1983.126,0.59,0.53,0.55,0.49,0.59,0.53
1983,3,1983.2027,0.45,0.38,0.56,0.5,0.45,0.38
1983,4,1983.2877,0.67,0.62,0.56,0.5,0.67,0.62
1983,5,1983.3699,0.46,0.38,0.58,0.51,0.46,0.38
1983,6,1983.4548,0.58,0.46,0.63,0.51,0.58,0.46
1983,7,1983.537,0.7,0.56,0.65,0.51,0.7,0.56
1983,8,1983.6219,0.66,0.59,0.59,0.51,0.66,0.59
1983,9,1983.7068,0.53,0.59,0.45,0.51,0.53,0.59
1983,10,1983.789,0.49,0.67,0.32,0.5,0.49,0.67
1983,11,1983.874,0.27,0.48,0.29,0.49,0.27,0.48
1983,12,1983.9562,0.33,0.46,0.35,0.48,0.33,0.46
1984,1,1984.041,0.36,0.37,0.46,0.47,0.36,0.37
1984,2,1984.1257,0.32,0.26,0.52,0.46,0.32,0.26
1984,3,1984.2049,      NaN,      NaN,0.52,0.45,0.52,0.45
1984,4,1984.2896,0.5,0.45,0.5,0.45,0.5,0.45
1984,5,1984.3716,0.61,0.54,0.52,0.44,0.61,0.54
1984,6,1984.4563,0.5,0.37,0.56,0.44,0.5,0.37
1984,7,1984.5383,0.39,0.24,0.57,0.43,0.39,0.24
1984,8,1984.623,0.47,0.39,0.51,0.43,0.47,0.39
1984,9,1984.7077,0.3,0.37,0.37,0.43,0.3,0.37
1984,10,1984.7896,0.25,0.43,0.25,0.43,0.25,0.43
1984,11,1984.8743,0.15,0.36,0.22,0.43,0.15,0.36
1984,12,1984.9563,0.36,0.49,0.3,0.43,0.36,0.49
1985,1,1985.0411,0.5,0.51,0.41,0.43,0.5,0.51
1985,2,1985.126,0.62,0.56,0.48,0.42,0.62,0.56
1985,3,1985.2027,0.52,0.46,0.48,0.41,0.52,0.46
1985,4,1985.2877,0.41,0.36,0.45,0.4,0.41,0.36
1985,5,1985.3699,0.57,0.5,0.46,0.39,0.57,0.5
1985,6,1985.4548,0.35,0.22,0.49,0.37,0.35,0.22
1985,7,1985.537,0.43,0.29,0.5,0.35,0.43,0.29
1985,8,1985.6219,0.48,0.4,0.42,0.34,0.48,0.4
1985,9,1985.7068,0.32,0.38,0.26,0.32,0.32,0.38
1985,10,1985.789,-0.03,0.15,0.13,0.31,-0.03,0.15
1985,11,1985.874,0.14,0.35,0.09,0.3,0.14,0.35
1985,12,1985.9562,0.11,0.24,0.16,0.29,0.11,0.24
1986,1,1986.0411,0.28,0.3,0.27,0.29,0.28,0.3
1986,2,1986.126,0.36,0.3,0.34,0.29,0.36,0.3
1986,3,1986.2027,0.27,0.21,0.36,0.29,0.27,0.21
1986,4,1986.2877,0.2,0.14,0.35,0.3,0.2,0.14
1986,5,1986.3699,0.35,0.27,0.38,0.31,0.35,0.27
1986,6,1986.4548,0.48,0.35,0.45,0.32,0.48,0.35
1986,7,1986.537,0.44,0.29,0.48,0.34,0.44,0.29
1986,8,1986.6219,0.55,0.48,0.43,0.35,0.55,0.48
1986,9,1986.7068,0.36,0.42,0.3,0.37,0.36,0.42
1986,10,1986.789,0.21,0.39,0.2,0.38,0.21,0.39
1986,11,1986.874,0.18,0.39,0.18,0.39,0.18,0.39
1986,12,1986.9562,0.35,0.48,0.27,0.4,0.35,0.48
1987,1,1987.0411,0.33,0.34,0.39,0.41,0.33,0.34
1987,2,1987.126,0.44,0.38,0.47,0.42,0.44,0.38
1987,3,1987.2027,0.5,0.43,0.49,0.42,0.5,0.43
1987,4,1987.2877,0.43,0.37,0.49,0.43,0.43,0.37
1987,5,1987.3699,0.46,0.39,0.51,0.44,0.46,0.39
1987,6,1987.4548,0.59,0.46,0.57,0.45,0.59,0.46
1987,7,1987.537,0.6,0.46,0.6,0.46,0.6,0.46
1987,8,1987.6219,0.53,0.45,0.54,0.46,0.53,0.45
1987,9,1987.7068,0.55,0.61,0.41,0.47,0.55,0.61
1987,10,1987.789,0.2,0.38,0.29,0.47,0.2,0.38
1987,11,1987.874,0.2,0.41,0.27,0.48,0.2,0.41
1987,12,1987.9562,0.35,0.48,0.34,0.48,0.35,0.48
1988,1,1988.041,0.51,0.53,0.46,0.48,0.51,0.53
1988,2,1988.1257,0.52,0.47,0.53,0.47,0.52,0.47
1988,3,1988.2049,0.57,0.51,0.53,0.47,0.57,0.51
1988,4,1988.2896,0.6,0.55,0.51,0.46,0.6,0.55
1988,5,1988.3716,0.6,0.53,0.52,0.44,0.6,0.53
1988,6,1988.4563,0.43,0.31,0.56,0.43,0.43,0.31
1988,7,1988.5383,0.45,0.3,0.56,0.42,0.45,0.3
1988,8,1988.623,0.49,0.41,0.48,0.4,0.49,0.41
1988,9,1988.7077,0.36,0.42,0.32,0.38,0.36,0.42
1988,10,1988.7896,0.12,0.31,0.19,0.37,0.12,0.31
1988,11,1988.8743,0.19,0.4,0.14,0.36,0.19,0.4
1988,12,1988.9563,0.19,0.32,0.21,0.34,0.19,0.32
